timestamp,active_app,process_name,window_title,split_screen_detected,visible_other_apps
2026-04-30T23:40:36,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:38,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:40,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:42,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:44,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:46,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:48,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:50,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:52,VS Code,Code.exe,● streamlit_app.py - python - Visual Studio Code [Administrator],False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
2026-04-30T23:40:54,Browser,chrome.exe,embedded AI - VS Code 用 Python - Google Chrome,False,Browser | VS Code | applicationframehost.exe | qq.exe | systemsettings.exe | textinputhost.exe | weixin.exe | whatsapp.root.exe
